50,,,,,,,,,,,,,
49,50,,,,,,,,,,,,
48,49,50,,,,,,,,,,,
47,48,49,,,,,,,,,,,
46,47,48,50,,,,,,,,,,
45,46,47,49,50,,,,,,,,,
44,45,46,48,49,50,,,,,,,,
43,44,45,47,48,49,50,,,,,,,
42,43,44,46,47,48,49,50,,,,,,
41,42,43,45,46,47,48,49,50,,,,,
40,41,42,44,45,46,47,48,49,50,,,,
39,40,41,43,44,45,46,47,48,49,50,,,
38,39,40,42,43,44,45,46,47,48,49,50,,
38,38,39,41,42,43,44,45,46,47,48,49,50,
37,38,38,40,41,42,43,44,45,46,47,48,49,50
37,37,38,39,40,41,42,43,44,45,46,47,48,49
36,37,37,38,39,40,41,42,43,44,45,46,47,48
36,36,37,38,38,39,40,41,42,43,44,45,46,47
35,36,36,37,38,38,39,40,41,42,43,44,45,46
35,35,36,37,37,38,38,39,40,41,42,43,44,45
34,35,35,36,37,37,38,38,39,40,41,42,43,44
33,34,35,36,36,37,37,38,38,39,40,41,42,43
32,33,34,35,36,36,37,37,38,38,39,40,41,42
31,32,33,35,35,36,36,37,37,38,38,39,40,41
30,31,32,34,35,35,36,36,37,37,38,38,39,40
29,30,31,33,34,35,35,36,36,37,37,38,38,39
28,29,30,32,33,34,35,35,36,36,37,37,38,38
27,28,29,31,32,33,34,35,35,36,36,37,37,38
26,27,28,30,31,32,33,34,35,35,36,36,37,37
25,26,27,29,30,31,32,33,34,35,35,36,36,37
24,25,26,28,29,30,31,32,33,34,35,35,36,36
23,24,25,27,28,29,30,31,32,33,34,35,35,36
22,23,24,26,27,28,29,30,31,32,33,34,35,35
21,22,23,25,26,27,28,29,30,31,32,33,34,35
20,21,22,24,25,26,27,28,29,30,31,32,33,34
19,20,21,23,24,25,26,27,28,29,30,31,32,33
18,19,20,22,23,24,25,26,27,28,29,30,31,32
16,18,19,21,22,23,24,25,26,27,28,29,30,31
14,16,18,20,21,22,23,24,25,26,27,28,29,30
12,14,16,19,20,21,22,23,24,25,26,27,28,29
10,12,14,18,19,20,21,22,23,24,25,26,27,28
8,10,12,16,18,19,20,21,22,23,24,25,26,27
6,8,10,14,16,18,19,20,21,22,23,24,25,26
4,6,8,12,14,16,18,19,20,21,22,23,24,25
2,4,6,10,12,14,16,18,19,20,21,22,23,24
1,2,4,8,10,12,14,16,18,19,20,21,22,23
0,1,2,6,8,10,12,14,16,18,19,20,21,22
0,0,1,4,6,8,10,12,14,16,18,19,20,21
0,0,0,2,4,6,8,10,12,14,16,18,19,20
0,0,0,1,2,4,6,8,10,12,14,16,18,19
0,0,0,0,1,2,4,6,8,10,12,14,16,18
0,0,0,0,0,1,2,4,6,8,10,12,14,16
0,0,0,0,0,0,1,2,4,6,8,10,12,14
0,0,0,0,0,0,0,1,2,4,6,8,10,12
0,0,0,0,0,0,0,0,1,2,4,6,8,10
0,0,0,0,0,0,0,0,0,1,2,4,6,8
0,0,0,0,0,0,0,0,0,0,1,2,4,6
0,0,0,0,0,0,0,0,0,0,0,1,2,4
0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1
